version,location,quoted,source,source_value,status,kind,note
v1,§4.2 Table 2,"−72.01, −42.72",results/.../analysis/analysis.json :: secondary_family[early_loop2_any_layer].simultaneous_95_interval,"[-0.7200754085098435, -0.4272347180724354]",exact (rounded),number,
v1,§4.2 Table 2,−15.59,results/.../analysis/analysis.json :: secondary_family[early_loop3_fixed_mean].estimate,-0.15586926424050637,exact (rounded),number,
v1,§4.2 Table 2,"−22.40, −8.77",results/.../analysis/analysis.json :: secondary_family[early_loop3_fixed_mean].simultaneous_95_interval,"[-0.2240409794100318, -0.08769754907098096]",exact (rounded),number,
v1,§4.2 Table 2,−61.08,results/.../analysis/analysis.json :: secondary_family[early_loop3_any_layer].estimate,-0.6108386075949369,exact (rounded),number,
v1,§4.2 Table 2,"−79.59, −42.58",results/.../analysis/analysis.json :: secondary_family[early_loop3_any_layer].simultaneous_95_interval,"[-0.7959090115574546, -0.4257682036324192]",exact (rounded),number,
v1,§4.3 Table 4,+14.38,results/.../analysis/analysis.json :: secondary_family[fit01_minus_penultimate_local].estimate,0.1438422995780591,exact (rounded),number,
v1,§4.3 Table 4,"+7.70, +21.07",results/.../analysis/analysis.json :: secondary_family[fit01_minus_penultimate_local].simultaneous_95_interval,"[0.07699378313022422, 0.210690816025894]",exact (rounded),number,
v1,§4.3 Table 4,+15.77,results/.../analysis/analysis.json :: secondary_family[sampled_sum_minus_diagonal_local].estimate,0.15772020042194096,exact (rounded),number,
v1,§4.3 Table 4,"+5.80, +25.75",results/.../analysis/analysis.json :: secondary_family[sampled_sum_minus_diagonal_local].simultaneous_95_interval,"[0.05796365904793578, 0.25747674179594615]",exact (rounded),number,
v1,§4.3 Table 4,+8.80,results/.../analysis/analysis.json :: secondary_family[penultimate_local].estimate,0.08804061181434597,exact (rounded),number,
v1,§4.3 Table 4,"+0.76, +16.85",results/.../analysis/analysis.json :: secondary_family[penultimate_local].simultaneous_95_interval,"[0.007594657812076772, 0.16848656581661517]",exact (rounded),number,
v1,§4.3 Table 4,+21.72,results/.../analysis/analysis.json :: secondary_family[sampled_sum_local].estimate,0.2172402426160338,exact (rounded),number,
v1,§4.3 Table 4,"+9.16, +34.29",results/.../analysis/analysis.json :: secondary_family[sampled_sum_local].simultaneous_95_interval,"[0.09155303182978272, 0.3429274534022849]",exact (rounded),number,
v1,§4.3 Table 4,+5.95,results/.../analysis/analysis.json :: secondary_family[diagonal_local].estimate,0.05952004219409286,exact (rounded),number,
v1,§4.3 Table 4,"−0.34, +12.24",results/.../analysis/analysis.json :: secondary_family[diagonal_local].simultaneous_95_interval,"[-0.003395438727201716, 0.12243552311538744]",exact (rounded),number,
v1,§3.2,28 dependency groups,results/.../analysis/analysis.json :: groups,28,exact (rounded),number,
v1,§3.2,"42, 24, 16, 10, 10, 6",results/.../analysis/analysis.json :: group_heterogeneity[*].items,"[42, 24, 16, 10, 10, 6, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",record/prose,number,first six of the sorted sizes; remainder four 4s and eighteen 2s
v1,§3.2,8.63,results/.../analysis/analysis.json :: derived 160^2/sum n_g^2,8.625336927223719,exact (rounded),number,
v1,§3.2,"20,000",results/.../analysis/analysis.json :: bootstrap [replicates],20000,record/prose,number,
v1,§3.2,2026090901,results/.../analysis/analysis.json :: bootstrap [seed],2026090901,exact (rounded),number,
v1,§3.2,"160 two-hop questions, 80 intermediate concepts",RUN_SPECIFICATION.json population.items/names,,record/prose,number,
v1,§3.2,96 … 45 … 19,benchmark.json design.relation_balance.counts,,record/prose,number,
v1,§3.2,Three component facts overlap known calibration text,"final_lexical_novelty.json / benchmark_review.md (items 076, 130, 151)",,record/prose,number,
v1,§5 Table,+22.93,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.fp64_local_gpu.endpoint.estimates.primary_excess_difference,0.22927874472573836,exact (rounded),number,
v1,§5 Table,"+16.17, +32.52",verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.fp64_local_gpu.endpoint.family_intervals.primary_excess_difference,"[0.16170389501712013, 0.32517161366683084]",exact (rounded),number,
v1,§5 Table,−0.26,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.fp64_local_gpu.endpoint.changes.primary_excess_difference,-0.0026041666666666574,exact (rounded),number,
v1,§5 Table,+23.61,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.regenerated_states_local_gpu.endpoint.estimates.primary_excess_difference,0.23607594936708862,exact (rounded),number,
v1,§5 Table,"+16.52, +33.77",verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.regenerated_states_local_gpu.endpoint.family_intervals.primary_excess_difference,"[0.16520561020913593, 0.33769448126153034]",exact (rounded),number,
v1,§5 Table,+0.42,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.regenerated_states_local_gpu.endpoint.changes.primary_excess_difference,0.004193037974683594,exact (rounded),number,
v1,§5,22.60 and 23.35,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.executed_replay_local_gpu.tie_rule_bounds,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,"minimize_primary 0.22604, maximize_primary 0.23352"
v1,§5,37 of 160,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: native_output_A_local_gpu.regenerated_states_bit_identical_to_retained_items,37,record/prose,number,
v1,§5,154,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: native_output_A_local_gpu.continuations_equal_items,154,exact (rounded),number,
v1,§5,13 planted errors,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: independent_checker,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,
v1,§5,9×10⁻¹⁴ (CPU vs GPU FP64),REPORT_confirmation_verified.md,,record/prose,number,
v1,§5,"160, 190, 191 and 192 rows",verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.rows190_local_gpu.endpoint.changes.primary_excess_difference,0.0,record/prose,number,
v1,§6/§7 Reproducibility,43 … 33 distinct,preservation/PRESERVATION_LEDGER.json :: len(unique_and_lost),43,record/prose,number,
v1,Appendix B,−0.34 to +12.24 / +0.04 (regenerated),verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.regenerated_states_local_gpu.secondary[diagonal_local],"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,regenerated lower bound 0.00037 → +0.04 points
v1,§3.1,18.72,refit_round_2026-09-07/analysis/main_run01/report.json :: P1.tasks.multihop.metrics[*][18] (id loop4_historical_local_mean) [mean],0.18717072612687255,exact (rounded),number,
v1,§3.1,0.39,refit_round_2026-09-07/analysis/main_run01/report.json :: P1.tasks.multihop.metrics[*][18] (id loop4_historical_local_mean) [fit_sd],0.003938554888786443,exact (rounded),number,
v1,§3.1,90 eligible multihop items … 51 arithmetic,refit_round_2026-09-07/analysis/main_run01/report.json :: populations,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,
v1,§3.1,every fit peaked at physical layer 32,refit_round_2026-09-07/analysis/main_run01/report.json :: P1.tasks.multihop.loop4_learned_peaks_per_fit,"""lookup error: float() argument must be a string or a real number, not 'list'""",record/prose,number,
v1,App. A,85.1%,followup .../results/exit_agreement.json :: ['-1'].actual_exit_agreement [actual_exit_agreement_mean.2.3],0.8513513513513513,exact (rounded),number,
v1,App. A,79.1–90.5%,followup .../results/exit_agreement.json :: ['-1'].actual_exit_agreement [ci95.2.3],"[0.7905405405405409, 0.9054054054054059]",exact (rounded),number,
v1,App. A,1.45%,followup exit_agreement.json :: ['-1'].loops.3.windows.41-47.top1_agreement_matrix [mean.0.1],0.014478764478764476,exact (rounded),number,
v1,App. A,0.58–2.51%,followup exit_agreement.json :: ['-1'].loops.3.windows.41-47.top1_agreement_matrix [ci95.0.1],"[0.005791505791505791, 0.025096525096525095]",exact (rounded),number,
v1,App. A,96.6%,followup .../results/exit_agreement.json :: ['-1'].actual_exit_agreement,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,position −2 record: fu.exit.-2.* (checked separately below)
v1,App. A,0.39%,followup exit_agreement.json :: ['-2'].loops.3.windows.41-47.top1_agreement_matrix [mean.0.1],0.0038610038610038607,exact (rounded),number,
v1,App. A,72 passes out of 148 to 70 … 71,followup results/correctness.json :: all_148_counts,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,
v1,App. A,59.4% … 76.4% … 35.6% … 17.9% … 36 pairs,followup probe/bounded_refit_results.json :: performance,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,
v1,App. A,88 multihop … 51 arithmetic,huginn_run01/report.json :: populations,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,
v1,App. A,negative under all six prespecified summaries,refit .../huginn_run01/metrics.csv :: rows,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,
v1,§2.1,revision 1ed04250…,RUN_SPECIFICATION.json model.revision,,record/prose,number,
v1,§2.1,"48 blocks, four passes, 2,048, 49,152",RUN_SPECIFICATION.json model.geometry/vocab_size,,record/prose,number,
v2,Abstract/§4.1,23.19,results/.../analysis/analysis.json :: estimates[primary_excess_difference],0.23188291139240502,exact (rounded),number,
v2,Abstract/§4.1,16.29–32.90,results/.../analysis/analysis.json :: family_percentile_95_intervals[primary_excess_difference],"[0.1628899320083425, 0.3289769593495046]",exact (rounded),number,
v2,Abstract/§4.1,37.92,results/.../analysis/analysis.json :: estimates[fit01_intended],0.3791666666666666,exact (rounded),number,
v2,Abstract/§4.1,14.43,results/.../analysis/analysis.json :: estimates[raw_intended],0.14427083333333332,exact (rounded),number,
v2,§4.1 Table 1,30.44–46.56,results/.../analysis/analysis.json :: family_percentile_95_intervals[fit01_intended],"[0.3044442204301075, 0.465625]",exact (rounded),number,
v2,§4.1 Table 1,10.45–17.87,results/.../analysis/analysis.json :: family_percentile_95_intervals[raw_intended],"[0.10454545454545454, 0.1787037037037037]",exact (rounded),number,
v2,§4.1 Table 1,0.34,results/.../analysis/analysis.json :: estimates[fit01_control],0.0034414556962025313,exact (rounded),number,
v2,§4.1 Table 1,0.18–0.51,results/.../analysis/analysis.json :: family_percentile_95_intervals[fit01_control],"[0.0018166315049226443, 0.005065116602777693]",exact (rounded),number,
v2,§4.1 Table 1,0.04,results/.../analysis/analysis.json :: estimates[raw_control],0.0004285337552742617,exact (rounded),number,
v2,§4.1 Table 1,0.02–0.08,results/.../analysis/analysis.json :: family_percentile_95_intervals[raw_control],"[0.0001849416406378432, 0.0007549433275419872]",exact (rounded),number,
v2,§4.1,23.49,results/.../analysis/analysis.json :: estimates[intended_difference],0.23489583333333322,exact (rounded),number,
v2,§4.1,17.97–28.71,results/.../analysis/analysis.json :: primary_item_resampling_95_interval,"[0.17971271756329119, 0.2870582805907173]",exact (rounded),number,
v2,§4.1/§3.2,19.73 and 24.87,results/.../analysis/analysis.json :: leave_one_group_range,"[0.19730133614627288, 0.24874848029750418]",exact (rounded),number,
v2,§4.1,22.56,results/.../analysis/analysis.json :: secondary_family[fit02_local].estimate,0.22558016877637127,exact (rounded),number,
v2,§4.1,9.52–35.59,results/.../analysis/analysis.json :: secondary_family[fit02_local].simultaneous_95_interval,"[0.09523375118988045, 0.3559265863628621]",exact (rounded),number,
v2,§4.1,0.63,results/.../analysis/analysis.json :: secondary_family[fit01_minus_fit02_local].estimate,0.006302742616033756,exact (rounded),number,
v2,§4.1,−0.73 to +1.99,results/.../analysis/analysis.json :: secondary_family[fit01_minus_fit02_local].simultaneous_95_interval,"[-0.007270138454696015, 0.019875623686763527]",exact (rounded),number,
v2,§4.2 Table 2,−8.83,results/.../analysis/analysis.json :: secondary_family[early_loop1_fixed_mean].estimate,-0.08827465717299579,exact (rounded),number,
v2,§4.2 Table 2,"−13.64, −4.01",results/.../analysis/analysis.json :: secondary_family[early_loop1_fixed_mean].simultaneous_95_interval,"[-0.13641974092762596, -0.040129573418365615]",exact (rounded),number,
v2,§4.2 Table 2,−44.41,results/.../analysis/analysis.json :: secondary_family[early_loop1_any_layer].estimate,-0.4440664556962024,exact (rounded),number,
v2,§4.2 Table 2,"−59.03, −29.78",results/.../analysis/analysis.json :: secondary_family[early_loop1_any_layer].simultaneous_95_interval,"[-0.5902854897612019, -0.2978474216312029]",exact (rounded),number,
v2,§4.2 Table 2,−14.86,results/.../analysis/analysis.json :: secondary_family[early_loop2_fixed_mean].estimate,-0.14858089398734178,exact (rounded),number,
v2,§4.2 Table 2,"−19.54, −10.18",results/.../analysis/analysis.json :: secondary_family[early_loop2_fixed_mean].simultaneous_95_interval,"[-0.19540695469825603, -0.10175483327642752]",exact (rounded),number,
v2,§4.2 Table 2,−57.37,results/.../analysis/analysis.json :: secondary_family[early_loop2_any_layer].estimate,-0.5736550632911395,exact (rounded),number,
v2,§4.2 Table 2,"−72.01, −42.72",results/.../analysis/analysis.json :: secondary_family[early_loop2_any_layer].simultaneous_95_interval,"[-0.7200754085098435, -0.4272347180724354]",exact (rounded),number,
v2,§4.2 Table 2,−15.59,results/.../analysis/analysis.json :: secondary_family[early_loop3_fixed_mean].estimate,-0.15586926424050637,exact (rounded),number,
v2,§4.2 Table 2,"−22.40, −8.77",results/.../analysis/analysis.json :: secondary_family[early_loop3_fixed_mean].simultaneous_95_interval,"[-0.2240409794100318, -0.08769754907098096]",exact (rounded),number,
v2,§4.2 Table 2,−61.08,results/.../analysis/analysis.json :: secondary_family[early_loop3_any_layer].estimate,-0.6108386075949369,exact (rounded),number,
v2,§4.2 Table 2,"−79.59, −42.58",results/.../analysis/analysis.json :: secondary_family[early_loop3_any_layer].simultaneous_95_interval,"[-0.7959090115574546, -0.4257682036324192]",exact (rounded),number,
v2,§4.3 Table 4,+14.38,results/.../analysis/analysis.json :: secondary_family[fit01_minus_penultimate_local].estimate,0.1438422995780591,exact (rounded),number,
v2,§4.3 Table 4,"+7.70, +21.07",results/.../analysis/analysis.json :: secondary_family[fit01_minus_penultimate_local].simultaneous_95_interval,"[0.07699378313022422, 0.210690816025894]",exact (rounded),number,
v2,§4.3 Table 4,+15.77,results/.../analysis/analysis.json :: secondary_family[sampled_sum_minus_diagonal_local].estimate,0.15772020042194096,exact (rounded),number,
v2,§4.3 Table 4,"+5.80, +25.75",results/.../analysis/analysis.json :: secondary_family[sampled_sum_minus_diagonal_local].simultaneous_95_interval,"[0.05796365904793578, 0.25747674179594615]",exact (rounded),number,
v2,§4.3 Table 4,+8.80,results/.../analysis/analysis.json :: secondary_family[penultimate_local].estimate,0.08804061181434597,exact (rounded),number,
v2,§4.3 Table 4,"+0.76, +16.85",results/.../analysis/analysis.json :: secondary_family[penultimate_local].simultaneous_95_interval,"[0.007594657812076772, 0.16848656581661517]",exact (rounded),number,
v2,§4.3 Table 4,+21.72,results/.../analysis/analysis.json :: secondary_family[sampled_sum_local].estimate,0.2172402426160338,exact (rounded),number,
v2,§4.3 Table 4,"+9.16, +34.29",results/.../analysis/analysis.json :: secondary_family[sampled_sum_local].simultaneous_95_interval,"[0.09155303182978272, 0.3429274534022849]",exact (rounded),number,
v2,§4.3 Table 4,+5.95,results/.../analysis/analysis.json :: secondary_family[diagonal_local].estimate,0.05952004219409286,exact (rounded),number,
v2,§4.3 Table 4,"−0.34, +12.24",results/.../analysis/analysis.json :: secondary_family[diagonal_local].simultaneous_95_interval,"[-0.003395438727201716, 0.12243552311538744]",exact (rounded),number,
v2,§3.2,28 dependency groups,results/.../analysis/analysis.json :: groups,28,exact (rounded),number,
v2,§3.2,"42, 24, 16, 10, 10, 6",results/.../analysis/analysis.json :: group_heterogeneity[*].items,"[42, 24, 16, 10, 10, 6, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",record/prose,number,first six of the sorted sizes; remainder four 4s and eighteen 2s
v2,§3.2,8.63,results/.../analysis/analysis.json :: derived 160^2/sum n_g^2,8.625336927223719,exact (rounded),number,
v2,§3.2,"20,000",results/.../analysis/analysis.json :: bootstrap [replicates],20000,record/prose,number,
v2,§3.2,2026090901,results/.../analysis/analysis.json :: bootstrap [seed],2026090901,exact (rounded),number,
v2,§3.2,"160 two-hop questions, 80 intermediate concepts",RUN_SPECIFICATION.json population.items/names,,record/prose,number,
v2,§3.2,96 … 45 … 19,benchmark.json design.relation_balance.counts,,record/prose,number,
v2,§3.2,Three component facts overlap known calibration text,"final_lexical_novelty.json / benchmark_review.md (items 076, 130, 151)",,record/prose,number,
v2,§5 Table,+22.93,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.fp64_local_gpu.endpoint.estimates.primary_excess_difference,0.22927874472573836,exact (rounded),number,
v2,§5 Table,"+16.17, +32.52",verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.fp64_local_gpu.endpoint.family_intervals.primary_excess_difference,"[0.16170389501712013, 0.32517161366683084]",exact (rounded),number,
v2,§5 Table,−0.26,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.fp64_local_gpu.endpoint.changes.primary_excess_difference,-0.0026041666666666574,exact (rounded),number,
v2,§5 Table,+23.61,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.regenerated_states_local_gpu.endpoint.estimates.primary_excess_difference,0.23607594936708862,exact (rounded),number,
v2,§5 Table,"+16.52, +33.77",verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.regenerated_states_local_gpu.endpoint.family_intervals.primary_excess_difference,"[0.16520561020913593, 0.33769448126153034]",exact (rounded),number,
v2,§5 Table,+0.42,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.regenerated_states_local_gpu.endpoint.changes.primary_excess_difference,0.004193037974683594,exact (rounded),number,
v2,§5,22.60 and 23.35,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.executed_replay_local_gpu.tie_rule_bounds,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,"minimize_primary 0.22604, maximize_primary 0.23352"
v2,§5,37 of 160,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: native_output_A_local_gpu.regenerated_states_bit_identical_to_retained_items,37,record/prose,number,
v2,§5,154,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: native_output_A_local_gpu.continuations_equal_items,154,exact (rounded),number,
v2,§5,13 planted errors,verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: independent_checker,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,
v2,§5,9×10⁻¹⁴ (CPU vs GPU FP64),REPORT_confirmation_verified.md,,record/prose,number,
v2,§5,"160, 190, 191 and 192 rows",verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.rows190_local_gpu.endpoint.changes.primary_excess_difference,0.0,record/prose,number,
v2,§6/§7 Reproducibility,43 … 33 distinct,preservation/PRESERVATION_LEDGER.json :: len(unique_and_lost),43,record/prose,number,
v2,Appendix B,−0.34 to +12.24 / +0.04 (regenerated),verification_2026-09-11/metrics/VERIFICATION_METRICS.json :: paths.regenerated_states_local_gpu.secondary[diagonal_local],"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,regenerated lower bound 0.00037 → +0.04 points
v2,§3.1,18.72,refit_round_2026-09-07/analysis/main_run01/report.json :: P1.tasks.multihop.metrics[*][18] (id loop4_historical_local_mean) [mean],0.18717072612687255,exact (rounded),number,
v2,§3.1,0.39,refit_round_2026-09-07/analysis/main_run01/report.json :: P1.tasks.multihop.metrics[*][18] (id loop4_historical_local_mean) [fit_sd],0.003938554888786443,exact (rounded),number,
v2,§3.1,90 eligible multihop items … 51 arithmetic,refit_round_2026-09-07/analysis/main_run01/report.json :: populations,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,
v2,§3.1,every fit peaked at physical layer 32,refit_round_2026-09-07/analysis/main_run01/report.json :: P1.tasks.multihop.loop4_learned_peaks_per_fit,"""lookup error: float() argument must be a string or a real number, not 'list'""",record/prose,number,
v2,App. A,85.1%,followup .../results/exit_agreement.json :: ['-1'].actual_exit_agreement [actual_exit_agreement_mean.2.3],0.8513513513513513,exact (rounded),number,
v2,App. A,79.1–90.5%,followup .../results/exit_agreement.json :: ['-1'].actual_exit_agreement [ci95.2.3],"[0.7905405405405409, 0.9054054054054059]",exact (rounded),number,
v2,App. A,1.45%,followup exit_agreement.json :: ['-1'].loops.3.windows.41-47.top1_agreement_matrix [mean.0.1],0.014478764478764476,exact (rounded),number,
v2,App. A,0.58–2.51%,followup exit_agreement.json :: ['-1'].loops.3.windows.41-47.top1_agreement_matrix [ci95.0.1],"[0.005791505791505791, 0.025096525096525095]",exact (rounded),number,
v2,App. A,96.6%,followup .../results/exit_agreement.json :: ['-1'].actual_exit_agreement,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,position −2 record: fu.exit.-2.* (checked separately below)
v2,App. A,0.39%,followup exit_agreement.json :: ['-2'].loops.3.windows.41-47.top1_agreement_matrix [mean.0.1],0.0038610038610038607,exact (rounded),number,
v2,App. A,72 passes out of 148 to 70 … 71,followup results/correctness.json :: all_148_counts,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,
v2,App. A,59.4% … 76.4% … 35.6% … 17.9% … 36 pairs,followup probe/bounded_refit_results.json :: performance,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,
v2,App. A,88 multihop … 51 arithmetic,huginn_run01/report.json :: populations,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,
v2,App. A,negative under all six prespecified summaries,refit .../huginn_run01/metrics.csv :: rows,"""lookup error: float() argument must be a string or a real number, not 'dict'""",record/prose,number,
v2,§2.1,revision 1ed04250…,RUN_SPECIFICATION.json model.revision,,record/prose,number,
v2,§2.1,"48 blocks, four passes, 2,048, 49,152",RUN_SPECIFICATION.json model.geometry/vocab_size,,record/prose,number,
v2,Abstract/§4.2 Table 3,−6.5 / −6.50,closeout reviewer_checks/RESULTS.json :: family_N1 [contrasts.C1_sameband_excess_diff_pass1.estimate],-0.06495253164556963,record/prose,number,
v2,§4.2 Table 3,"−11.91, −1.08",closeout reviewer_checks/RESULTS.json :: family_N1 [contrasts.C1_sameband_excess_diff_pass1.simultaneous_95_maxt],"[-0.11914387978749716, -0.010761183503642115]",exact (rounded),number,
v2,Abstract/§4.2 Table 3,−8.6 / −8.64,closeout reviewer_checks/RESULTS.json :: family_N1 [contrasts.C2_sameband_excess_diff_pass2.estimate],-0.08642536919831224,record/prose,number,
v2,§4.2 Table 3,"−12.43, −4.85",closeout reviewer_checks/RESULTS.json :: family_N1 [contrasts.C2_sameband_excess_diff_pass2.simultaneous_95_maxt],"[-0.12431223211303809, -0.0485385062835864]",exact (rounded),number,
v2,Abstract/§4.2 Table 3,−11.1 / −11.14,closeout reviewer_checks/RESULTS.json :: family_N1 [contrasts.C3_sameband_excess_diff_pass3.estimate],-0.11141877637130806,record/prose,number,
v2,§4.2 Table 3,"−16.76, −5.52",closeout reviewer_checks/RESULTS.json :: family_N1 [contrasts.C3_sameband_excess_diff_pass3.simultaneous_95_maxt],"[-0.16763256699210505, -0.05520498575051108]",exact (rounded),number,
v2,Abstract/§4.4,20.8 / 20.80,closeout reviewer_checks/RESULTS.json :: family_N1 [contrasts.A_within_domain_excess_diff_pass4.estimate],0.20796130952380953,record/prose,number,
v2,Abstract/§4.4,9.1–32.5 / 9.13–32.46,closeout reviewer_checks/RESULTS.json :: family_N1 [contrasts.A_within_domain_excess_diff_pass4.simultaneous_95_maxt],"[0.09129698871641183, 0.3246256303312072]",record/prose,number,
v2,§4.4,3.07% … 0.34%,closeout RESULTS.json :: A_within_domain [per_method.fit01.within_domain_control_recovery.estimate],0.03072916666666666,record/prose,number,3.07% within-domain; 0.34% all-79
v2,§4.4,0.38% … 0.04%,closeout RESULTS.json :: A_within_domain [per_method.raw.within_domain_control_recovery.estimate],0.0037946428571428567,record/prose,number,
