index,name,task,concept_cluster,name_prefix_cluster
70,rhyme-shoe-doubled,multihop,multihop:2,multihop:rhyme
71,tajmahal-continent,multihop,multihop:India,multihop:tajmahal
72,louvre-language,multihop,multihop:France,multihop:louvre
73,firstletter-halloween-month,multihop,multihop:October,multihop:firstletter
74,firstletter-valentines-month,multihop,multihop:February,multihop:firstletter
75,firstletter-populous-country,multihop,multihop:China,multihop:firstletter
76,firstletter-paris-country,multihop,multihop:France,multihop:firstletter
77,firstletter-greatwall-country,multihop,multihop:China,multihop:firstletter
78,succ-halloween-nextmonth,multihop,multihop:October,multihop:succ
79,pred-valentines-prevmonth,multihop,multihop:February,multihop:pred
80,dual-stars-visible-opposite,multihop,multihop:night,multihop:dual
82,roman-rings-olympic,multihop,multihop:5,multihop:roman
83,roman-states-us,multihop,multihop:50,multihop:roman
84,half-clock-hours,multihop,multihop:12,multihop:half
85,double-dice-faces,multihop,multihop:6,multihop:double
86,letterpos-water-symbol,multihop,multihop:H,multihop:letterpos
87,letterpos-oxygen-symbol,multihop,multihop:O,multihop:letterpos
88,letterpos-carbon-symbol,multihop,multihop:C,multihop:letterpos
89,letterpos-nitrogen-symbol,multihop,multihop:N,multihop:letterpos
90,dbl-armistice-antonym,multihop,multihop:war,multihop:dbl
91,dbl-obituary-antonym,multihop,multihop:death,multihop:dbl
92,dbl-altitude-antonym,multihop,multihop:high,multihop:dbl
93,parens-add-mult,order-ops,order-ops:5,order-ops:parens
94,parens-sub-mult,order-ops,order-ops:5,order-ops:parens
95,mult-parens-add,order-ops,order-ops:7,order-ops:mult
96,mult-parens-sub,order-ops,order-ops:3,order-ops:mult
97,add-mult-right,order-ops,order-ops:12,order-ops:add
98,mult-add-left,order-ops,order-ops:12,order-ops:mult
99,sub-mult-right,order-ops,order-ops:12,order-ops:sub
100,mult-sub-left,order-ops,order-ops:20,order-ops:mult
101,add-sub-left-right,order-ops,order-ops:15,order-ops:add
102,sub-add-left-right,order-ops,order-ops:10,order-ops:sub
103,div-parens-add,order-ops,order-ops:5,order-ops:div
104,parens-add-div,order-ops,order-ops:15,order-ops:parens
105,parens-sub-div,order-ops,order-ops:12,order-ops:parens
106,div-sub-left,order-ops,order-ops:4,order-ops:div
107,chain-add-mult-add,order-ops,order-ops:6,order-ops:chain
108,chain-mult-sub-add,order-ops,order-ops:6,order-ops:chain
109,chain-sub-mult-sub,order-ops,order-ops:6,order-ops:chain
110,nested-add-mult-sub,order-ops,order-ops:9,order-ops:nested
111,nested-mult-add-div,order-ops,order-ops:12,order-ops:nested
113,word-add-mult,order-ops,order-ops:12,order-ops:word
114,word-mult-sub,order-ops,order-ops:15,order-ops:word
115,word-parens,order-ops,order-ops:5,order-ops:word
116,mod-add,order-ops,order-ops:11,order-ops:mod
117,mod-mult,order-ops,order-ops:16,order-ops:mod
118,square-sub,order-ops,order-ops:3,order-ops:square
119,mult-mult-left,order-ops,order-ops:6,order-ops:mult
120,div-div-left,order-ops,order-ops:6,order-ops:div
122,div-mult-left,order-ops,order-ops:4,order-ops:div
123,mult-div-mult,order-ops,order-ops:12,order-ops:mult
125,sub-sub-sub,order-ops,order-ops:15,order-ops:sub
126,add-sub-add-sub,order-ops,order-ops:13,order-ops:add
127,chain-mult-mult-add,order-ops,order-ops:6,order-ops:chain
128,nested-add-add-mult,order-ops,order-ops:9,order-ops:nested
129,nested-mult-sub-add,order-ops,order-ops:7,order-ops:nested
130,nested-div-add-sub,order-ops,order-ops:8,order-ops:nested
131,nested-sub-div-mult,order-ops,order-ops:3,order-ops:nested
132,nested4-add-mult-add-div,order-ops,order-ops:12,order-ops:nested4
133,nested4-sub-add-mult-sub,order-ops,order-ops:12,order-ops:nested4
134,redundant-parens-mult,order-ops,order-ops:6,order-ops:redundant
135,redundant-parens-div,order-ops,order-ops:3,order-ops:redundant
136,word-sub-mult,order-ops,order-ops:6,order-ops:word
137,word-add-add,order-ops,order-ops:7,order-ops:word
138,word-div-sub,order-ops,order-ops:5,order-ops:word
139,mixed-mult-add,order-ops,order-ops:12,order-ops:mixed
140,mixed-parens-mult,order-ops,order-ops:5,order-ops:mixed
141,mod-sub,order-ops,order-ops:9,order-ops:mod
142,square-div,order-ops,order-ops:3,order-ops:square
144,pystar-add,order-ops,order-ops:3,order-ops:pystar
145,pystar-sub,order-ops,order-ops:4,order-ops:pystar
146,floordiv-add,order-ops,order-ops:11,order-ops:floordiv
147,floordiv-mult,order-ops,order-ops:10,order-ops:floordiv
