item,intermediate,target,target_equals_own_intermediate,names_coinciding_with_target_or_its_tokens
confirmation-110,Chopin,Paris,False,[]
confirmation-111,Raphael,Urbino,False,[]
confirmation-112,Raphael,High Renaissance,False,[]
confirmation-113,Linux,GPL,False,[]
confirmation-114,Linux,1991,False,[]
confirmation-115,Python,1991,False,[]
confirmation-116,Python,Guido van Rossum,False,[]
confirmation-117,Voyager,copper,False,[]
confirmation-118,Voyager,1977,False,[]
confirmation-119,Hubble,Earth,False,[]
confirmation-120,Hubble,2.4 metres,False,[]
confirmation-121,Wikipedia,2001,False,[]
confirmation-122,Wikipedia,Wikimedia Foundation,False,[]
confirmation-123,Unicode,1991,False,[]
confirmation-124,Unicode,4,False,[]
confirmation-125,Ethernet,Xerox PARC,False,[]
confirmation-126,Ethernet,48,False,[]
confirmation-127,Arduino,Italy,False,[]
confirmation-128,Arduino,2005,False,[]
confirmation-129,Kelvin,K,False,[]
confirmation-130,Kelvin,temperature,False,[]
confirmation-131,Pascal,pressure,False,[]
confirmation-132,Pascal,Pa,False,[]
confirmation-133,Newton,N,False,[]
confirmation-134,Newton,force,False,[]
confirmation-135,Watt,power,False,[]
confirmation-136,Watt,W,False,[]
confirmation-137,Tesla,T,False,[]
confirmation-138,Tesla,magnetic flux density,False,[]
confirmation-139,volt,V,False,[]
confirmation-140,volt,electric potential difference,False,[]
confirmation-141,mole,mol,False,[]
confirmation-142,mole,amount of substance,False,[]
confirmation-143,gray,Gy,False,[]
confirmation-144,gray,100,False,[]
confirmation-145,ozone,O3,False,[]
confirmation-146,ozone,3,False,[]
confirmation-147,basalt,extrusive igneous rock,False,[]
confirmation-148,basalt,mafic,False,[]
confirmation-149,granite,intrusive igneous rock,False,[]
confirmation-150,granite,feldspar,False,[]
confirmation-151,monsoon,summer,False,[]
confirmation-152,monsoon,season,False,[]
confirmation-153,glacier,gravity,False,[]
confirmation-154,glacier,moraines,False,[]
confirmation-155,tornado,Enhanced Fujita scale,False,[]
confirmation-156,tornado,cumulonimbus,False,[]
confirmation-157,earthquake,epicenter,False,[]
confirmation-158,earthquake,hypocenter,False,[]
confirmation-159,permafrost,active layer,False,[]
confirmation-160,permafrost,methane,False,[]
