item,group,domain,intermediate,own_pass1_fit01,c79_pass1_fit01,c7_pass1_fit01,e79_pass1_fit01,e7_pass1_fit01,own_pass1_raw,c79_pass1_raw,c7_pass1_raw,e79_pass1_raw,e7_pass1_raw,own_pass2_fit01,c79_pass2_fit01,c7_pass2_fit01,e79_pass2_fit01,e7_pass2_fit01,own_pass2_raw,c79_pass2_raw,c7_pass2_raw,e79_pass2_raw,e7_pass2_raw,own_pass3_fit01,c79_pass3_fit01,c7_pass3_fit01,e79_pass3_fit01,e7_pass3_fit01,own_pass3_raw,c79_pass3_raw,c7_pass3_raw,e79_pass3_raw,e7_pass3_raw,own_pass4_fit01,c79_pass4_fit01,c7_pass4_fit01,e79_pass4_fit01,e7_pass4_fit01,own_pass4_raw,c79_pass4_raw,c7_pass4_raw,e79_pass4_raw,e7_pass4_raw
confirmation-013,dg003,astronomy,Europa,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-014,dg003,astronomy,Europa,0.0000000000,0.0073839662,0.0000000000,-0.0073839662,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0126582278,0.0000000000,-0.0126582278,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0021097046,0.0000000000,-0.0021097046,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0105485232,0.0000000000,-0.0105485232,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-015,dg003,astronomy,Io,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-016,dg003,astronomy,Io,0.0000000000,0.0021097046,0.0000000000,-0.0021097046,0.0000000000,0.0000000000,0.0210970464,0.2380952381,-0.0210970464,-0.2380952381,0.0000000000,0.0189873418,0.2142857143,-0.0189873418,-0.2142857143,0.0000000000,0.0179324895,0.2023809524,-0.0179324895,-0.2023809524,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0116033755,0.1309523810,-0.0116033755,-0.1309523810,0.0000000000,0.0506329114,0.5714285714,-0.0506329114,-0.5714285714,0.0000000000,0.0052742616,0.0595238095,-0.0052742616,-0.0595238095
confirmation-017,dg006,chemistry,helium,0.0000000000,0.0010548523,0.0000000000,-0.0010548523,0.0000000000,0.0833333333,0.0000000000,0.0000000000,0.0833333333,0.0833333333,0.0000000000,0.0063291139,0.0000000000,-0.0063291139,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8333333333,0.0000000000,0.0000000000,0.8333333333,0.8333333333,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
confirmation-018,dg006,chemistry,helium,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0833333333,0.0000000000,0.0000000000,0.0833333333,0.0833333333,0.4166666667,0.0000000000,0.0000000000,0.4166666667,0.4166666667,0.0833333333,0.0000000000,0.0000000000,0.0833333333,0.0833333333
confirmation-019,dg006,chemistry,lithium,0.0000000000,0.0042194093,0.0000000000,-0.0042194093,0.0000000000,0.0000000000,0.0010548523,0.0119047619,-0.0010548523,-0.0119047619,0.0000000000,0.0010548523,0.0000000000,-0.0010548523,0.0000000000,0.4166666667,0.0116033755,0.1309523810,0.4050632911,0.2857142857,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4166666667,0.0063291139,0.0714285714,0.4103375527,0.3452380952,0.7500000000,0.0253164557,0.2857142857,0.7246835443,0.4642857143,0.0000000000,0.0010548523,0.0119047619,-0.0010548523,-0.0119047619
confirmation-020,dg006,chemistry,lithium,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.5000000000,0.5000000000,1.0000000000,0.0094936709,0.0476190476,0.9905063291,0.9523809524,0.5833333333,0.0000000000,0.0000000000,0.5833333333,0.5833333333
confirmation-021,dg006,chemistry,boron,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-022,dg006,chemistry,boron,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010548523,0.0119047619,-0.0010548523,-0.0119047619,0.0000000000,0.0158227848,0.0000000000,-0.0158227848,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010548523,0.0119047619,-0.0010548523,-0.0119047619,0.0000000000,0.0126582278,0.1428571429,-0.0126582278,-0.1428571429,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-023,dg006,chemistry,cobalt,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0833333333,0.0021097046,0.0238095238,0.0812236287,0.0595238095,1.0000000000,0.0137130802,0.1547619048,0.9862869198,0.8452380952,0.3333333333,0.0000000000,0.0000000000,0.3333333333,0.3333333333
confirmation-024,dg006,chemistry,cobalt,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0126582278,0.0000000000,-0.0126582278,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0189873418,0.2142857143,0.9810126582,0.7857142857,0.1666666667,0.0000000000,0.0000000000,0.1666666667,0.1666666667
confirmation-025,dg006,chemistry,nickel,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-026,dg006,chemistry,nickel,0.0000000000,0.0010548523,0.0000000000,-0.0010548523,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4166666667,0.0000000000,0.0000000000,0.4166666667,0.4166666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-027,dg006,chemistry,tungsten,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0179324895,0.2023809524,0.9820675105,0.7976190476,0.8333333333,0.0000000000,0.0000000000,0.8333333333,0.8333333333
confirmation-028,dg006,chemistry,tungsten,0.0000000000,0.0042194093,0.0000000000,-0.0042194093,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010548523,0.0000000000,-0.0010548523,0.0000000000,0.5833333333,0.0000000000,0.0000000000,0.5833333333,0.5833333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.5000000000,0.0000000000,0.0000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-029,dg006,chemistry,radon,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7500000000,0.0116033755,0.1309523810,0.7383966245,0.6190476190,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-030,dg006,chemistry,radon,0.0000000000,0.0010548523,0.0000000000,-0.0010548523,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.5000000000,0.5000000000,0.0000000000,0.0042194093,0.0000000000,-0.0042194093,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0833333333,0.0000000000,0.0000000000,0.0833333333,0.0833333333,1.0000000000,0.0126582278,0.1428571429,0.9873417722,0.8571428571,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
confirmation-031,dg006,chemistry,neon,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0063291139,0.0476190476,-0.0063291139,-0.0476190476,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-032,dg006,chemistry,neon,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-033,dg007,countries,Japan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4166666667,0.0000000000,0.0000000000,0.4166666667,0.4166666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5833333333,0.0000000000,0.0000000000,0.5833333333,0.5833333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-034,dg007,countries,Japan,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4166666667,0.0000000000,0.0000000000,0.4166666667,0.4166666667,0.8333333333,0.0000000000,0.0000000000,0.8333333333,0.8333333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-035,dg007,countries,Kenya,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5833333333,0.0000000000,0.0000000000,0.5833333333,0.5833333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-036,dg007,countries,Kenya,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-037,dg007,countries,Chile,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.8333333333,0.0126582278,0.1428571429,0.8206751055,0.6904761905,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-038,dg007,countries,Chile,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0126582278,0.1428571429,0.9873417722,0.8571428571,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-039,dg007,countries,Norway,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5833333333,0.0000000000,0.0000000000,0.5833333333,0.5833333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-040,dg007,countries,Norway,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7500000000,0.0000000000,0.0000000000,0.7500000000,0.7500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4166666667,0.0000000000,0.0000000000,0.4166666667,0.4166666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-041,dg007,countries,Egypt,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5833333333,0.0063291139,0.0000000000,0.5770042194,0.5833333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2500000000,0.0000000000,0.0000000000,0.2500000000,0.2500000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,0.9166666667,0.0021097046,0.0000000000,0.9145569620,0.9166666667
confirmation-042,dg007,countries,Egypt,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0105485232,0.0000000000,0.9894514768,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
confirmation-043,dg007,countries,Peru,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.4166666667,0.0000000000,0.0000000000,0.4166666667,0.4166666667,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
